#Load(N)	Displacement (mm)
0.6	-0.01
0.7	-0.008
0.7	-0.002
0.8	0
1.087	0.006
1.7	0.014
2.1	0.022
2.7	0.031
3.2	0.04
3.7	0.047
4.3	0.056
4.8	0.063
5.319	0.072
5.9	0.08
6.4	0.089
6.94	0.096
7.581	0.105
8.3	0.115
8.7	0.121
9.4	0.131
9.987	0.139
10.387	0.147
10.9	0.157
11.5	0.163
12.006	0.172
12.65	0.181
13.293	0.189
13.831	0.197
14.373	0.204
15	0.214
15.6	0.222
16.093	0.23
16.737	0.24
17.3	0.248
17.8	0.256
18.3	0.263
18.9	0.271
19.4	0.28
20.081	0.289
20.725	0.297
21.2	0.304
21.8	0.314
22.3	0.322
22.887	0.33
23.531	0.339
24	0.346
24.8	0.356
25.3	0.364
25.893	0.372
26.3	0.38
26.675	0.387
27.218	0.396
27.956	0.407
28.5	0.414
29.08	0.422
29.7	0.43
30.3	0.439
30.8	0.447
31.4	0.455
31.943	0.465
32.399	0.472
32.899	0.48
33.637	0.488
34.299	0.497
34.749	0.506
35.193	0.512
35.431	0.52
35.999	0.529
36.613	0.539
37.156	0.547
37.699	0.556
38.299	0.565
38.799	0.571
39.299	0.58
39.899	0.589
40.299	0.596
40.699	0.603
41.181	0.61
41.824	0.621
42.299	0.631
42.606	0.639
43.146	0.648
43.787	0.656
44.231	0.663
44.799	0.672
45.299	0.681
45.799	0.689
46.299	0.695
46.733	0.705
47.299	0.713
47.899	0.723
48.299	0.728
48.799	0.737
49.539	0.749
50.18	0.755
50.519	0.764
51.099	0.773
51.705	0.78
52.243	0.789
52.799	0.797
53.326	0.806
53.868	0.813
54.306	0.82
54.799	0.828
55.299	0.836
56.13	0.847
56.499	0.854
57.312	0.864
57.855	0.872
58.299	0.88
58.799	0.89
59.399	0.898
59.918	0.906
60.299	0.913
60.899	0.921
61.543	0.932
62.099	0.938
62.399	0.945
62.799	0.953
63.699	0.964
64.146	0.972
64.586	0.979
65.161	0.99
65.799	0.998
66.211	1.004
66.499	1.012
67.199	1.022
67.799	1.031
68.299	1.037
68.699	1.046
69.255	1.055
69.999	1.064
70.299	1.071
70.88	1.079
71.599	1.089
72.061	1.096
72.305	1.103
72.943	1.113
73.572	1.122
