#Load(N)	Displacement (mm)
70.299	6.673
70.599	6.692
70.511	6.707
70.699	6.724
70.699	6.74
70.766	6.757
70.88	6.774
70.999	6.789
71.199	6.808
71.199	6.824
71.199	6.842
71.199	6.858
71.199	6.875
71.299	6.888
71.499	6.908
71.599	6.923
71.699	6.941
71.799	6.958
71.799	6.974
72.099	6.99
72.199	7.006
72.146	7.023
72.199	7.041
72.199	7.058
72.199	7.072
72.199	7.092
72.199	7.105
72.199	7.12
72.299	7.136
72.593	7.157
72.499	7.174
72.699	7.191
72.699	7.206
72.799	7.223
72.799	7.239
72.899	7.255
73.019	7.275
73.099	7.29
73.099	7.306
73.124	7.319
73.199	7.34
73.299	7.357
73.199	7.374
73.399	7.389
73.499	7.408
73.599	7.424
73.699	7.441
73.699	7.458
73.699	7.475
73.799	7.491
73.972	7.506
73.992	7.523
74.099	7.54
74.199	7.557
74.199	7.572
74.199	7.59
74.218	7.607
74.299	7.622
74.299	7.636
74.599	7.656
74.499	7.675
74.599	7.691
74.599	7.708
74.699	7.722
74.699	7.737
74.699	7.751
74.799	7.771
74.919	7.791
74.893	7.806
75.099	7.82
75.099	7.837
75.199	7.856
75.099	7.87
75.199	7.886
75.299	7.905
75.399	7.924
75.299	7.937
75.599	7.958
75.499	7.973
75.505	7.989
75.686	8.009
75.699	8.022
75.799	8.039
75.799	8.056
75.718	8.072
76.099	8.091
75.999	8.107
76.099	8.122
76.099	8.138
76.099	8.153
76.199	8.173
76.299	8.191
76.199	8.207
76.399	8.224
76.399	8.238
76.399	8.253
76.499	8.27
76.599	8.291
76.599	8.306
76.699	8.323
76.668	8.337
76.699	8.352
76.699	8.369
76.899	8.389
76.899	8.404
77.099	8.424
77.099	8.441
77.099	8.456
77.099	8.473
77.199	8.489
77.199	8.507
77.199	8.522
77.212	8.539
77.299	8.552
77.399	8.57
77.339	8.587
77.599	8.608
77.499	8.624
77.499	8.637
77.599	8.653
77.599	8.674
77.752	8.691
77.699	8.707
77.699	8.725
77.799	8.739
77.818	8.758
77.899	8.771
77.999	8.79
77.999	8.807
78.005	8.823
78.192	8.841
77.999	8.856
78.199	8.871
78.199	8.888
78.299	8.907
78.199	8.924
78.299	8.941
78.299	8.957
78.399	8.974
78.372	8.986
78.511	9.005
78.699	9.024
78.599	9.041
78.699	9.056
78.699	9.074
78.799	9.091
78.799	9.106
78.899	9.122
78.799	9.14
78.949	9.158
78.967	9.173
79.199	9.19
79.099	9.207
79.099	9.224
79.199	9.24
79.159	9.257
79.199	9.273
79.199	9.29
79.199	9.304
79.299	9.323
79.299	9.341
79.199	9.355
79.312	9.37
79.199	9.385
79.499	9.404
79.399	9.423
79.499	9.438
79.599	9.455
79.499	9.474
79.499	9.487
79.672	9.504
79.699	9.522
79.699	9.541
79.799	9.556
79.799	9.572
79.899	9.591
79.799	9.605
79.799	9.619
79.899	9.636
80.099	9.657
80.099	9.673
80.099	9.69
80.199	9.708
80.199	9.723
80.199	9.74
80.199	9.757
80.199	9.774
80.199	9.789
80.199	9.804
80.199	9.82
80.299	9.837
80.399	9.856
80.299	9.873
80.239	9.886
80.399	9.904
80.399	9.925
80.399	9.94
80.599	9.956
80.499	9.974
80.449	9.988
80.532	10.004
80.599	10.02
80.699	10.039
80.699	10.056
80.699	10.073
80.799	10.092
80.699	10.107
80.792	10.122
80.699	10.137
80.899	10.154
80.799	10.175
80.799	10.191
80.917	10.208
80.899	10.224
80.899	10.238
81.061	10.253
81.099	10.274
81.099	10.29
81.099	10.307
81.099	10.323
81.199	10.34
81.099	10.356
81.199	10.371
81.199	10.39
81.299	10.408
81.199	10.423
81.132	10.438
81.299	10.457
81.299	10.473
81.299	10.489
81.499	10.505
81.299	10.522
81.399	10.539
81.199	10.554
81.499	10.569
81.499	10.586
81.411	10.608
81.399	10.62
81.599	10.634
81.599	10.653
81.699	10.672
81.699	10.687
81.699	10.709
81.699	10.724
81.699	10.737
81.699	10.753
81.699	10.771
81.799	10.791
81.699	10.807
81.799	10.823
81.799	10.84
81.817	10.857
81.799	10.871
81.799	10.886
81.799	10.904
81.799	10.925
81.972	10.941
81.811	10.957
81.992	10.975
81.799	10.987
82.099	11.005
81.999	11.025
81.899	11.04
81.899	11.052
82.099	11.071
82.165	11.091
81.949	11.105
82.199	11.121
82.199	11.141
82.199	11.158
81.999	11.171
82.199	11.188
82.199	11.208
82.199	11.225
82.199	11.239
82.211	11.258
82.199	11.271
82.249	11.29
82.199	11.308
82.199	11.324
82.299	11.341
82.199	11.357
82.199	11.375
82.199	11.389
82.299	11.408
82.299	11.424
82.311	11.443
82.472	11.459
82.399	11.475
82.399	11.49
82.561	11.507
82.299	11.523
82.199	11.541
82.199	11.558
82.199	11.573
82.299	11.589
82.199	11.607
82.599	11.623
82.499	11.64
82.599	11.657
82.499	11.671
82.68	11.689
82.599	11.707
82.699	11.724
82.699	11.739
82.699	11.758
82.699	11.774
82.699	11.791
82.699	11.808
82.699	11.823
82.799	11.841
82.699	11.856
82.799	11.875
82.699	11.888
82.799	11.905
82.867	11.924
82.799	11.941
82.699	11.957
82.699	11.974
82.799	11.989
82.699	12.006
82.699	12.019
82.899	12.041
82.774	12.057
82.799	12.071
82.999	12.088
82.699	12.107
82.852	12.123
82.699	12.135
83.08	12.154
82.799	12.175
82.817	12.189
82.899	12.207
82.799	12.224
82.825	12.237
82.899	12.255
83.099	12.274
82.925	12.291
83.055	12.307
82.899	12.321
83.099	12.339
82.999	12.356
82.98	12.373
82.899	12.387
83.099	12.405
83.199	12.425
83.099	12.44
83.099	12.458
82.999	12.475
83.099	12.49
83.199	12.506
83.199	12.522
83.099	12.54
83.112	12.557
83.13	12.571
83.199	12.587
83.067	12.606
83.099	12.622
83.099	12.636
83.199	12.652
83.199	12.673
83.199	12.689
83.199	12.706
83.099	12.723
82.999	12.736
83.199	12.752
83.199	12.769
83.199	12.786
83.199	12.804
83.199	12.82
83.199	12.837
83.261	12.855
83.099	12.868
83.199	12.885
83.199	12.904
83.199	12.923
83.199	12.939
83.199	12.957
83.199	12.972
83.18	12.987
83.199	13.002
83.199	13.023
83.299	13.041
83.099	13.055
83.199	13.069
83.286	13.09
83.199	13.107
83.099	13.12
83.199	13.136
83.199	13.153
83.199	13.172
83.199	13.188
83.199	13.206
83.199	13.224
83.049	13.236
83.199	13.253
83.199	13.273
83.199	13.288
83.099	13.301
83.239	13.32
83.199	13.341
82.999	13.355
83.299	13.369
83.199	13.387
83.199	13.404
83.252	13.422
83.299	13.44
83.099	13.456
83.099	13.475
83.099	13.488
83.199	13.506
83.199	13.523
83.199	13.54
83.199	13.555
83.199	13.573
83.199	13.591
82.999	13.605
82.999	13.605
