#Load(N)	Displacement (mm)
3835.439	2.288
3841.139	2.296
3846.732	2.304
3851.658	2.311
3857.239	2.319
3862.926	2.329
3868.238	2.337
3873.638	2.345
3878.951	2.354
3883.138	2.363
3888.557	2.371
3893.038	2.378
3898.263	2.387
3902.771	2.395
3907.405	2.403
3912.038	2.411
3916.775	2.42
3921.594	2.429
3925.938	2.438
3930.138	2.445
3933.617	2.453
3938.012	2.462
3942.037	2.471
3945.637	2.479
3949.237	2.487
3952.717	2.495
3956.137	2.503
3959.457	2.513
3962.481	2.52
3965.537	2.529
3968.124	2.537
3970.837	2.545
3972.93	2.554
3974.912	2.562
3976.69	2.57
3978.237	2.579
3980.349	2.587
3982.137	2.595
3983.437	2.603
3985.437	2.613
3987.037	2.62
3988.363	2.629
3989.537	2.637
3990.737	2.645
3992.137	2.654
3992.637	2.662
3993.237	2.67
3993.836	2.679
3994.236	2.688
3994.68	2.696
3994.936	2.704
3995.511	2.712
3995.736	2.721
3995.736	2.729
3995.736	2.737
3995.736	2.745
3995.236	2.754
3994.336	2.762
3993.112	2.77
3991.017	2.778
3984.962	2.788
3977.912	2.796
3972.937	2.804
3968.224	2.812
3963.337	2.82
3958.237	2.829
3954.677	2.838
3950.806	2.845
3946.537	2.853
3941.625	2.861
3933.637	2.87
3926.858	2.879
3921.4	2.887
3917.658	2.895
3915.469	2.904
3913.013	2.912
3911.238	2.92
3910.444	2.929
3909.738	2.937
3909.263	2.945
3909.551	2.954
3909.838	2.962
3910.238	2.971
3910.775	2.979
3910.858	2.987
3910.538	2.995
3910.638	3.004
3910.838	3.012
3911.838	3.021
3912.824	3.029
3913.938	3.037
3915.071	3.046
3916.551	3.054
3917.788	3.062
3919.013	3.07
3921	3.079
3922.584	3.087
3923.888	3.094
3925.638	3.104
3927.525	3.112
3928.913	3.12
3930.313	3.129
3932.156	3.138
3934.137	3.145
3936.337	3.154
3938.117	3.163
3939.844	3.17
3941.962	3.178
3943.8	3.187
3945.737	3.195
3947.677	3.204
3949.612	3.212
3951.337	3.22
3952.975	3.229
3955.162	3.238
3957.137	3.246
3958.73	3.254
3960.47	3.262
3962.237	3.27
3963.964	3.279
3965.537	3.288
3967.437	3.296
3968.712	3.304
3969.917	3.312
3971.177	3.32
3972.799	3.329
3974.237	3.337
3975.337	3.346
3976.697	3.354
3978.237	3.362
3979.103	3.371
3979.843	3.379
3980.737	3.387
3981.624	3.395
3982.268	3.404
3982.537	3.411
3983.337	3.42
3983.637	3.429
3983.543	3.437
3983.337	3.446
3983.137	3.454
3982.318	3.462
3980.617	3.471
3978.737	3.479
3975.837	3.487
3970.268	3.495
3960.637	3.504
3941.687	3.513
3891.944	3.52
1779.365	3.529
1699.573	3.538
1689.713	3.546
1685.273	3.555
1683.361	3.563
1682.773	3.57
1683.273	3.578
1684.24	3.588
1685.773	3.596
1687.673	3.604
1689.986	3.613
1692.273	3.622
1694.386	3.63
1696.953	3.638
1699.933	3.646
1702.773	3.654
1705.773	3.663
1708.204	3.672
1711.133	3.679
1712.353	3.683
