#Load(N)	Displacement (mm)
0.862	-0.005
0.9	-0.002
0.9	0.006
1.3	0.024
1.6	0.037
1.8	0.056
2.3	0.073
2.337	0.09
2.7	0.108
2.8	0.123
3.2	0.139
3.4	0.155
3.7	0.173
4	0.189
4.3	0.206
4.406	0.222
4.8	0.239
5.1	0.256
5.3	0.272
5.6	0.288
5.806	0.307
6.2	0.321
6.3	0.338
6.7	0.355
6.9	0.373
7.2	0.388
7.4	0.406
7.7	0.421
7.937	0.44
8.3	0.454
8.7	0.472
8.9	0.49
9.187	0.505
9.3	0.523
9.7	0.538
10	0.556
10.2	0.571
10.3	0.589
10.681	0.607
10.8	0.623
11	0.639
11.4	0.655
11.6	0.672
11.8	0.688
12.1	0.706
12.356	0.723
12.7	0.74
12.9	0.756
13.2	0.77
13.4	0.787
13.8	0.807
13.9	0.823
14.3	0.841
14.3	0.856
14.7	0.871
14.9	0.889
15.3	0.906
15.48	0.922
15.8	0.94
15.906	0.957
16.3	0.972
16.468	0.99
16.7	1.004
16.966	1.023
17.3	1.039
17.6	1.056
17.8	1.069
18.062	1.091
18.3	1.107
18.425	1.122
18.8	1.141
18.887	1.155
19.3	1.173
19.4	1.189
19.7	1.207
19.9	1.223
20.2	1.239
20.5	1.255
20.7	1.273
20.9	1.29
21.2	1.307
21.406	1.324
21.7	1.34
21.9	1.357
22.2	1.373
22.3	1.388
22.781	1.407
22.8	1.423
23.2	1.439
23.366	1.456
23.646	1.471
23.868	1.489
24.2	1.505
24.3	1.521
24.575	1.538
24.8	1.556
25.1	1.571
25.3	1.59
25.5	1.606
25.9	1.622
26.2	1.64
26.3	1.656
26.4	1.674
26.713	1.689
26.8	1.705
27.08	1.722
27.36	1.74
27.6	1.756
27.8	1.772
28.193	1.787
28.3	1.804
28.6	1.822
28.8	1.838
29	1.857
29.3	1.872
29.5	1.889
29.7	1.903
29.8	1.918
30.243	1.94
30.373	1.957
30.606	1.973
30.8	1.988
30.973	2.003
31.2	2.019
31.3	2.037
31.699	2.057
31.899	2.071
32.181	2.088
32.299	2.105
32.499	2.121
32.799	2.137
32.999	2.157
33.199	2.173
33.399	2.189
33.599	2.204
33.699	2.22
34.179	2.24
34.299	2.255
34.399	2.272
34.699	2.288
34.849	2.305
35.199	2.321
35.399	2.34
35.599	2.355
35.799	2.372
35.999	2.389
36.243	2.405
36.299	2.421
36.699	2.44
36.799	2.454
37.099	2.471
37.299	2.49
37.599	2.505
37.699	2.521
37.699	2.536
37.899	2.552
38.299	2.572
38.399	2.589
38.599	2.606
38.799	2.621
38.993	2.635
39.126	2.65
39.399	2.67
39.637	2.69
39.799	2.705
39.999	2.717
40.199	2.734
40.466	2.754
40.599	2.769
40.731	2.787
40.899	2.804
41.299	2.821
41.299	2.836
41.656	2.854
41.999	2.874
42.199	2.888
42.299	2.904
42.299	2.922
42.299	2.937
42.399	2.953
42.699	2.971
42.913	2.991
43.093	3.005
43.199	3.019
43.299	3.035
43.499	3.051
43.799	3.072
43.999	3.091
44.199	3.104
44.437	3.123
44.599	3.136
44.699	3.152
44.799	3.171
45.099	3.189
45.299	3.204
45.499	3.219
45.699	3.235
45.799	3.254
45.799	3.266
46.199	3.283
46.373	3.302
46.699	3.323
46.862	3.339
46.818	3.352
46.799	3.369
47.199	3.387
47.366	3.406
47.499	3.422
47.899	3.44
47.899	3.454
48.099	3.469
48.199	3.487
48.399	3.505
48.539	3.521
