#Load(N)	Displacement (mm)
48.799	3.538
48.899	3.557
49.186	3.57
49.199	3.585
49.399	3.607
49.699	3.622
49.799	3.639
49.905	3.654
50.099	3.666
50.259	3.687
50.299	3.706
50.599	3.721
50.799	3.741
50.999	3.753
51.199	3.769
51.299	3.785
51.499	3.803
51.799	3.823
51.899	3.839
52.099	3.856
52.299	3.872
52.299	3.886
52.499	3.905
52.699	3.922
52.887	3.939
52.999	3.955
53.299	3.971
53.337	3.988
53.518	4.004
53.699	4.02
53.799	4.038
54.037	4.056
54.199	4.07
54.299	4.088
54.487	4.106
54.699	4.122
54.899	4.137
54.955	4.156
55.199	4.171
55.299	4.188
55.299	4.202
55.599	4.22
55.732	4.239
55.799	4.254
55.999	4.273
56.099	4.286
56.293	4.3
56.299	4.318
56.499	4.337
56.759	4.355
56.899	4.373
56.899	4.388
57.087	4.403
57.268	4.42
57.499	4.44
57.699	4.455
57.812	4.473
58.099	4.489
58.299	4.502
58.299	4.517
58.299	4.535
58.524	4.558
58.606	4.572
58.799	4.587
58.899	4.606
59.199	4.622
59.299	4.636
59.599	4.655
59.599	4.671
59.799	4.688
59.999	4.705
60.099	4.719
60.299	4.735
60.399	4.755
60.392	4.769
60.599	4.783
60.799	4.802
60.799	4.822
60.899	4.838
60.999	4.853
61.299	4.873
61.399	4.888
61.399	4.903
61.499	4.92
61.799	4.936
61.799	4.953
61.999	4.971
62.299	4.989
62.199	5.003
62.299	5.016
62.399	5.034
62.599	5.051
62.799	5.073
62.799	5.087
62.899	5.106
63.099	5.121
63.299	5.137
63.299	5.151
63.399	5.17
63.599	5.19
63.699	5.204
63.799	5.217
63.799	5.236
63.872	5.255
63.999	5.269
64.099	5.287
64.499	5.307
64.499	5.321
64.699	5.335
64.861	5.356
64.899	5.372
65.199	5.388
65.211	5.406
65.199	5.418
65.299	5.435
65.399	5.452
65.499	5.469
65.699	5.489
65.799	5.504
65.899	5.518
66.166	5.536
66.199	5.55
66.299	5.573
66.299	5.59
66.499	5.605
66.599	5.623
66.639	5.635
66.799	5.654
66.899	5.673
66.899	5.69
67.099	5.705
67.23	5.722
67.299	5.739
67.299	5.754
67.399	5.769
67.599	5.789
67.619	5.806
67.761	5.821
67.799	5.839
67.899	5.854
68.099	5.873
68.086	5.885
68.299	5.907
68.299	5.923
68.499	5.939
68.499	5.954
68.699	5.972
68.799	5.988
68.799	6.004
68.899	6.022
68.999	6.039
69.286	6.057
69.299	6.071
69.299	6.09
69.299	6.106
69.461	6.123
69.619	6.14
69.699	6.155
69.712	6.169
69.899	6.19
69.949	6.205
70.03	6.222
70.199	6.241
70.299	6.252
70.299	6.27
70.399	6.288
70.499	6.307
70.499	6.322
70.599	6.34
70.699	6.356
70.699	6.372
70.899	6.388
70.899	6.406
71.099	6.422
71.199	6.439
71.219	6.456
71.299	6.472
71.299	6.49
71.324	6.505
71.699	6.523
71.699	6.538
71.799	6.556
71.799	6.572
72.032	6.59
71.999	6.606
72.099	6.621
72.28	6.639
72.299	6.656
72.255	6.672
72.399	6.689
72.399	6.707
72.399	6.72
72.699	6.74
72.699	6.755
72.799	6.772
72.799	6.786
72.899	6.802
72.999	6.822
73.099	6.839
73.246	6.856
73.299	6.873
73.299	6.89
73.299	6.905
73.399	6.921
73.555	6.939
73.599	6.955
73.699	6.972
73.799	6.989
73.799	7.002
73.799	7.017
73.949	7.033
74.168	7.055
74.212	7.073
74.299	7.087
74.299	7.104
74.299	7.121
74.299	7.134
74.299	7.15
74.299	7.172
74.411	7.188
74.499	7.203
74.452	7.216
74.799	7.24
74.718	7.255
74.799	7.271
74.799	7.286
74.999	7.305
74.899	7.321
74.999	7.337
75.205	7.356
75.199	7.372
75.299	7.389
75.299	7.405
75.299	7.42
75.499	7.437
75.499	7.455
75.599	7.468
75.799	7.489
75.799	7.503
75.799	7.519
75.799	7.534
75.899	7.554
75.999	7.572
76.055	7.589
76.099	7.606
76.199	7.621
76.293	7.635
76.299	7.65
76.299	7.669
76.399	7.686
76.43	7.704
76.399	7.718
76.699	7.736
76.719	7.754
76.639	7.766
76.799	7.785
76.799	7.804
76.799	7.823
76.799	7.835
77.03	7.854
77.199	7.873
77.065	7.886
77.199	7.904
77.299	7.921
77.299	7.938
77.299	7.953
77.299	7.967
77.399	7.987
77.599	8.005
77.399	8.017
77.499	8.034
77.643	8.051
77.799	8.072
77.799	8.088
77.799	8.104
77.899	8.122
77.799	8.134
77.899	8.15
77.999	8.171
78.111	8.189
78.199	8.202
78.299	8.22
78.299	8.236
78.299	8.252
78.299	8.267
78.399	8.287
78.499	8.301
78.499	8.322
78.699	8.339
78.499	8.353
78.699	8.372
78.699	8.386
78.799	8.403
78.799	8.42
78.799	8.438
78.799	8.452
78.892	8.468
78.899	8.483
79.167	8.506
79.199	8.522
79.099	8.535
79.199	8.551
79.299	8.572
79.299	8.589
79.299	8.604
79.355	8.623
79.299	8.638
79.399	8.656
79.492	8.67
79.499	8.687
79.642	8.705
79.599	8.721
79.699	8.739
79.699	8.753
79.799	8.766
79.799	8.784
79.899	8.803
79.899	8.822
79.899	8.839
79.899	8.853
79.999	8.871
79.855	8.884
80.099	8.902
80.199	8.919
80.299	8.94
80.285	8.954
80.299	8.969
80.299	8.985
80.367	9.006
80.485	9.022
80.299	9.036
80.479	9.055
80.399	9.071
80.499	9.088
80.599	9.104
80.799	9.123
80.611	9.138
80.767	9.154
80.749	9.169
80.799	9.187
80.799	9.201
80.799	9.218
80.879	9.237
80.799	9.253
80.855	9.266
80.799	9.281
80.899	9.302
80.899	9.315
81.072	9.334
81.199	9.352
81.099	9.372
80.999	9.384
81.199	9.4
81.299	9.419
81.299	9.439
81.299	9.454
81.299	9.469
81.399	9.488
81.299	9.503
81.399	9.517
81.499	9.533
81.599	9.554
81.599	9.573
81.499	9.585
81.699	9.604
81.732	9.621
81.749	9.637
81.63	9.652
81.899	9.67
81.799	9.686
81.824	9.703
81.799	9.716
81.899	9.735
81.974	9.755
81.899	9.771
81.899	9.783
82.03	9.802
82.149	9.822
82.132	9.838
82.199	9.853
82.299	9.871
82.299	9.887
82.299	9.902
82.299	9.916
82.299	9.935
82.299	9.954
82.299	9.969
82.299	9.989
82.299	10.004
82.299	10.019
82.299	10.034
82.399	10.051
82.499	10.073
82.399	10.089
82.499	10.105
82.525	10.122
82.399	10.135
82.599	10.15
82.699	10.172
82.642	10.188
82.699	10.203
82.779	10.217
82.799	10.235
82.799	10.254
82.699	10.267
82.799	10.284
82.899	10.305
82.799	10.321
82.699	10.332
82.899	10.353
82.899	10.372
82.899	10.385
82.924	10.401
82.905	10.42
83.011	10.438
82.999	10.451
82.999	10.466
83.099	10.486
83.299	10.506
82.899	10.516
83.179	10.533
83.199	10.55
83.299	10.568
83.299	10.583
83.299	10.605
83.211	10.622
83.299	10.635
83.345	10.65
83.299	10.669
83.299	10.687
83.299	10.703
83.399	10.72
83.399	10.736
83.399	10.755
83.299	10.767
83.399	10.784
83.499	10.801
83.524	10.822
83.499	10.837
83.499	10.852
83.699	10.87
83.499	10.884
83.685	10.903
83.699	10.923
83.599	10.938
83.599	10.952
83.786	10.969
83.699	10.988
83.599	11.003
83.739	11.018
83.799	11.036
83.799	11.057
83.692	11.069
83.799	11.085
83.899	11.106
83.899	11.122
83.899	11.137
83.985	11.156
83.799	11.169
83.899	11.188
83.899	11.206
83.899	11.223
83.999	11.241
83.892	11.256
83.999	11.272
83.899	11.288
84.099	11.306
83.899	11.322
83.98	11.341
83.999	11.355
84.017	11.372
84.136	11.388
83.999	11.406
84.172	11.423
84.086	11.439
84.199	11.455
84.199	11.471
84.199	11.488
84.099	11.504
84.199	11.521
84.199	11.539
84.199	11.556
84.265	11.571
84.299	11.59
84.299	11.605
84.299	11.623
84.299	11.637
84.299	11.656
84.299	11.671
84.299	11.689
84.299	11.706
84.299	11.721
84.312	11.739
84.299	11.754
84.299	11.771
84.299	11.786
84.399	11.802
84.399	11.819
84.299	11.839
84.299	11.853
84.299	11.873
84.399	11.888
84.305	11.903
84.386	11.918
84.667	11.939
84.399	11.955
84.432	11.97
84.617	11.988
84.399	12.004
84.399	12.016
84.399	12.033
84.699	12.053
84.599	12.073
84.492	12.087
84.592	12.102
84.625	12.123
84.455	12.136
84.736	12.154
84.699	12.174
84.499	12.188
84.58	12.205
84.499	12.218
84.699	12.236
84.699	12.256
84.699	12.272
84.599	12.284
84.699	12.302
84.799	12.323
84.559	12.338
84.799	12.355
84.799	12.373
84.799	12.386
84.767	12.403
84.799	12.422
84.699	12.439
84.712	12.455
84.699	12.469
84.799	12.487
84.699	12.505
84.699	12.521
84.699	12.535
84.799	12.552
84.799	12.572
84.799	12.588
84.799	12.604
84.799	12.623
84.617	12.635
84.799	12.65
84.799	12.67
84.799	12.687
84.799	12.702
84.799	12.718
84.799	12.738
84.799	12.754
84.799	12.766
84.799	12.786
84.799	12.804
84.799	12.822
84.799	12.834
84.799	12.855
84.799	12.872
84.699	12.885
84.799	12.902
84.799	12.924
84.899	12.937
84.799	12.954
84.899	12.969
84.899	12.99
84.799	13.005
84.799	13.018
84.899	13.035
84.899	13.052
84.799	13.072
84.799	13.088
84.799	13.106
84.899	13.122
84.779	13.135
84.899	13.151
84.899	13.172
84.824	13.189
84.799	13.202
84.899	13.219
84.899	13.238
84.799	13.254
84.899	13.268
84.817	13.286
84.999	13.302
84.899	13.321
84.961	13.338
84.899	13.355
85.072	13.373
84.899	13.386
84.999	13.402
84.899	13.423
84.899	13.439
84.899	13.455
84.799	13.473
84.899	13.487
84.799	13.504
84.899	13.519
84.799	13.538
84.999	13.554
84.799	13.571
84.899	13.589
84.899	13.605
84.799	13.622
84.799	13.635
84.899	13.652
84.892	13.673
84.799	13.688
84.799	13.703
84.799	13.721
84.899	13.739
84.599	13.754
84.899	13.768
84.819	13.787
84.839	13.805
84.742	13.821
84.799	13.839
84.799	13.855
84.799	13.873
84.699	13.886
84.799	13.906
84.799	13.922
84.899	13.938
84.799	13.954
84.799	13.971
84.899	13.989
84.699	14.004
84.799	14.02
84.799	14.038
84.799	14.056
84.772	14.07
84.899	14.09
84.799	14.106
84.78	14.122
84.799	14.137
84.799	14.156
84.799	14.171
84.799	14.189
84.799	14.205
84.786	14.221
84.799	14.237
84.774	14.255
84.799	14.271
84.599	14.285
84.799	14.303
84.699	14.321
84.699	14.338
84.665	14.353
84.599	14.373
84.63	14.387
84.699	14.403
84.699	14.421
84.699	14.438
84.699	14.452
84.699	14.468
84.799	14.491
84.399	14.503
84.699	14.518
84.499	14.533
84.699	14.553
84.399	14.572
84.412	14.587
84.499	14.602
84.619	14.622
84.461	14.637
84.399	14.651
84.699	14.672
84.499	14.689
84.399	14.705
84.499	14.72
84.545	14.738
84.399	14.754
84.299	14.768
84.399	14.784
84.499	14.803
84.299	14.819
84.399	14.833
84.399	14.852
84.386	14.871
84.299	14.885
84.374	14.899
84.355	14.919
84.299	14.933
84.399	14.951
84.299	14.966
84.399	14.984
84.399	15.001
84.299	15.016
84.299	15.033
84.199	15.051
84.299	15.068
84.299	15.087
84.299	15.105
84.299	15.121
84.099	15.134
84.299	15.151
84.299	15.169
84.299	15.184
84.199	15.2
84.299	15.217
84.285	15.238
84.199	15.252
84.099	15.265
84.161	15.284
84.199	15.3
84.099	15.321
84.199	15.338
83.999	15.354
84.172	15.367
84.152	15.385
84.099	15.402
84.099	15.418
84.099	15.434
83.899	15.45
83.999	15.467
83.999	15.486
83.999	15.486
