#Load(N)	Displacement (mm)
187.597	3.306
187.797	3.314
188.097	3.32
188.353	3.33
188.797	3.337
189.197	3.346
189.297	3.354
189.797	3.363
190.297	3.374
190.697	3.382
190.797	3.389
190.984	3.396
191.324	3.407
191.797	3.415
191.897	3.421
192.297	3.43
192.797	3.44
192.828	3.447
193.224	3.454
193.697	3.464
193.953	3.474
194.297	3.481
194.397	3.49
194.797	3.499
195.297	3.507
195.397	3.514
195.697	3.522
195.997	3.53
196.278	3.538
196.497	3.546
196.997	3.557
197.297	3.566
197.544	3.571
197.797	3.578
198.297	3.59
198.497	3.597
198.797	3.605
199.15	3.613
199.491	3.623
199.797	3.631
199.997	3.637
200.297	3.646
200.797	3.656
201.097	3.665
201.337	3.674
201.797	3.683
202.097	3.691
202.197	3.697
202.297	3.705
202.597	3.713
202.897	3.721
203.17	3.73
203.597	3.738
203.797	3.747
204.197	3.754
204.297	3.762
204.797	3.773
205.07	3.781
205.397	3.789
205.697	3.797
206.003	3.806
206.297	3.815
206.297	3.82
206.797	3.83
206.997	3.839
207.297	3.845
207.597	3.854
207.897	3.862
208.397	3.874
208.697	3.881
208.897	3.888
209.197	3.897
209.597	3.907
209.828	3.916
210.297	3.925
210.409	3.934
210.597	3.941
210.697	3.945
211.03	3.956
211.297	3.964
211.697	3.971
211.797	3.98
212.197	3.989
212.697	4
212.897	4.006
213.097	4.014
213.297	4.022
213.497	4.03
213.74	4.037
214.097	4.047
214.323	4.057
214.697	4.063
214.703	4.07
215.147	4.081
215.397	4.089
215.597	4.097
215.797	4.103
216.297	4.115
216.797	4.127
216.89	4.133
216.959	4.139
217.097	4.145
217.415	4.154
217.797	4.163
218.097	4.173
218.297	4.182
218.497	4.189
218.597	4.196
218.797	4.205
219.297	4.215
219.697	4.225
219.797	4.231
220.065	4.239
220.296	4.246
220.396	4.254
220.796	4.263
221.096	4.272
221.296	4.28
221.496	4.288
221.796	4.297
222.196	4.306
222.396	4.316
222.534	4.322
222.796	4.33
223.196	4.339
223.296	4.347
223.296	4.354
223.84	4.363
224.096	4.371
224.296	4.38
224.596	4.387
224.796	4.397
225.046	4.405
225.296	4.413
225.328	4.421
225.796	4.431
226.196	4.439
226.122	4.446
226.296	4.454
226.596	4.463
226.796	4.471
227.096	4.479
227.296	4.488
227.596	4.497
227.736	4.505
227.896	4.513
228.296	4.522
228.396	4.53
228.696	4.538
228.896	4.548
229.284	4.555
229.296	4.562
229.465	4.57
229.709	4.579
229.796	4.587
230.196	4.595
230.396	4.604
230.721	4.614
231.096	4.624
231.296	4.632
231.496	4.639
231.634	4.647
231.796	4.654
231.996	4.663
232.296	4.671
232.496	4.681
232.753	4.689
232.796	4.695
233.196	4.705
233.296	4.714
233.596	4.723
233.796	4.73
233.896	4.739
234.228	4.748
234.296	4.756
234.296	4.764
234.396	4.772
234.596	4.779
234.796	4.788
234.896	4.795
235.296	4.805
235.456	4.813
235.696	4.821
235.836	4.83
235.996	4.837
236.296	4.846
236.396	4.855
236.596	4.862
236.896	4.87
237.084	4.879
237.296	4.888
237.496	4.896
237.709	4.904
237.796	4.913
238.19	4.921
238.43	4.931
238.596	4.938
238.696	4.946
238.84	4.955
238.996	4.962
239.396	4.972
239.496	4.979
239.716	4.987
239.834	4.997
240.096	5.004
240.296	5.012
240.496	5.02
240.696	5.029
240.896	5.038
241.096	5.047
241.296	5.054
241.396	5.061
241.596	5.071
241.696	5.079
241.896	5.087
242.096	5.096
242.296	5.104
242.396	5.112
242.796	5.121
242.815	5.13
242.896	5.137
243.196	5.147
243.336	5.156
243.596	5.164
243.796	5.173
243.796	5.18
243.99	5.187
244.143	5.196
244.309	5.204
244.423	5.212
244.796	5.22
244.796	5.229
244.946	5.238
245.196	5.246
245.396	5.256
245.496	5.263
245.696	5.27
245.852	5.28
245.996	5.288
246.296	5.296
246.296	5.303
246.596	5.313
246.759	5.321
246.796	5.33
247.096	5.337
247.283	5.346
247.396	5.355
247.596	5.363
247.796	5.371
247.896	5.38
247.996	5.387
248.296	5.397
248.396	5.404
248.596	5.413
248.696	5.421
248.89	5.429
248.996	5.438
249.271	5.446
249.296	5.454
249.496	5.463
249.796	5.472
249.836	5.479
249.896	5.487
250.296	5.496
250.296	5.503
250.296	5.513
250.496	5.521
250.796	5.529
250.896	5.538
251.096	5.546
251.296	5.556
251.396	5.565
251.496	5.57
251.629	5.58
251.796	5.588
251.983	5.596
252.196	5.604
252.296	5.613
252.396	5.622
252.596	5.629
252.696	5.638
252.796	5.647
253.196	5.656
253.296	5.664
253.296	5.671
253.421	5.681
253.796	5.689
253.796	5.695
253.846	5.705
254.096	5.713
254.296	5.722
254.323	5.729
254.496	5.738
254.796	5.748
254.896	5.756
254.896	5.764
254.996	5.771
255.296	5.781
255.436	5.789
255.396	5.797
255.596	5.805
255.796	5.813
255.871	5.821
255.796	5.828
256.296	5.839
256.296	5.847
256.296	5.854
256.523	5.864
256.796	5.874
256.996	5.883
256.896	5.889
256.896	5.895
257.196	5.906
257.296	5.914
257.396	5.921
257.696	5.931
257.796	5.941
257.796	5.947
257.876	5.954
258.216	5.965
258.396	5.974
258.296	5.981
258.34	5.988
258.596	5.997
258.796	6.007
258.696	6.013
258.796	6.02
259.046	6.031
259.196	6.037
259.296	6.047
259.496	6.054
259.596	6.063
259.443	6.071
259.796	6.08
259.996	6.09
260.196	6.098
259.977	6.103
260.296	6.114
260.596	6.124
260.496	6.13
260.396	6.136
260.796	6.147
260.996	6.157
260.996	6.164
260.896	6.173
261.296	6.182
261.523	6.192
261.496	6.199
261.396	6.205
261.396	6.213
261.696	6.221
261.696	6.229
261.871	6.238
262.009	6.247
262.052	6.255
262.096	6.262
262.296	6.273
262.496	6.281
262.396	6.288
262.433	6.296
262.796	6.308
263.052	6.318
262.796	6.322
262.796	6.331
263.096	6.34
263.296	6.346
263.096	6.354
263.296	6.364
263.696	6.375
263.796	6.383
263.708	6.39
263.796	6.399
263.796	6.407
263.796	6.414
263.796	6.421
264.115	6.431
264.296	6.441
264.296	6.448
264.196	6.454
264.296	6.463
264.421	6.473
264.596	6.48
264.496	6.488
264.842	6.5
264.996	6.508
265.122	6.518
265.027	6.524
264.796	6.529
264.846	6.538
265.189	6.547
265.296	6.557
265.296	6.566
265.182	6.571
265.252	6.58
265.396	6.589
265.358	6.597
265.296	6.604
265.396	6.614
265.733	6.625
265.796	6.633
265.396	6.639
265.296	6.645
265.496	6.656
265.596	6.664
265.489	6.673
265.596	6.683
265.496	6.69
265.265	6.697
265.296	6.705
265.196	6.713
264.896	6.722
264.796	6.73
264.433	6.739
264.196	6.747
263.796	6.754
263.296	6.762
262.896	6.772
262.296	6.78
261.796	6.789
261.196	6.798
260.533	6.809
259.696	6.817
258.596	6.821
257.896	6.828
256.969	6.839
255.658	6.846
254.196	6.855
252.796	6.864
250.609	6.872
247.446	6.879
242.129	6.888
235.103	6.897
226.846	6.907
219.109	6.915
209.659	6.926
201.177	6.935
190.397	6.943
183.097	6.947
173.097	6.955
164.004	6.963
