#Load(N)	Displacement (mm)
1.2	-0.017
1.2	-0.015
1.8	-0.004
2.3	0.002
2.7	0.009
3.3	0.019
3.8	0.027
4.4	0.036
4.85	0.044
5.487	0.052
6.031	0.06
6.5	0.068
7.1	0.077
7.512	0.085
7.994	0.093
8.7	0.102
9.3	0.111
9.719	0.119
10.3	0.127
10.7	0.136
11.3	0.144
11.781	0.152
12.4	0.162
12.866	0.169
13.5	0.177
14.053	0.185
14.487	0.193
15.2	0.201
15.7	0.21
16.312	0.22
16.8	0.227
17.393	0.235
18.1	0.244
18.375	0.251
18.9	0.259
19.512	0.268
20.3	0.277
20.8	0.285
21.3	0.292
21.9	0.303
22.462	0.31
22.9	0.318
23.5	0.326
24.186	0.334
24.726	0.343
25.3	0.352
26.013	0.362
26.35	0.369
26.8	0.374
27.331	0.384
27.873	0.392
28.6	0.402
29.256	0.41
29.6	0.416
30.3	0.427
30.8	0.434
31.318	0.443
31.859	0.451
32.599	0.46
33.099	0.468
33.499	0.475
34.224	0.484
34.799	0.494
35.199	0.501
35.646	0.508
36.199	0.516
36.931	0.527
37.368	0.535
38.012	0.545
38.699	0.553
39.199	0.56
39.433	0.567
40.199	0.575
40.999	0.586
41.599	0.592
42.099	0.599
42.299	0.609
42.881	0.618
43.599	0.627
44.162	0.634
44.706	0.646
45.243	0.652
45.773	0.66
46.299	0.669
46.799	0.676
47.399	0.686
47.749	0.692
48.299	0.702
48.899	0.711
49.299	0.716
49.799	0.724
50.299	0.734
51.093	0.744
51.474	0.751
52.059	0.761
52.699	0.769
53.099	0.776
53.499	0.783
54.143	0.794
54.68	0.801
55.099	0.809
55.499	0.816
56.005	0.825
56.646	0.834
57.199	0.843
57.699	0.851
58.299	0.861
58.799	0.868
59.299	0.877
59.799	0.886
60.399	0.893
60.899	0.901
61.399	0.91
62.112	0.919
62.599	0.926
63.139	0.934
63.699	0.942
64.319	0.953
64.799	0.961
65.299	0.969
65.843	0.977
66.386	0.986
66.899	0.994
67.299	1.001
67.999	1.011
68.449	1.019
68.886	1.025
69.33	1.033
69.999	1.042
