#Load(N)	Displacement (mm)
70.699	1.052
71.199	1.059
71.599	1.066
72.299	1.077
72.899	1.085
73.299	1.092
73.859	1.1
74.299	1.109
74.799	1.118
75.199	1.123
75.724	1.132
76.299	1.142
77.099	1.152
77.645	1.16
78.174	1.168
78.699	1.177
79.199	1.185
79.799	1.195
80.299	1.203
80.792	1.209
81.232	1.217
81.699	1.224
82.299	1.236
82.855	1.244
83.299	1.251
83.899	1.261
84.399	1.269
84.899	1.276
85.361	1.286
85.899	1.293
86.399	1.302
86.899	1.309
87.324	1.317
87.899	1.326
88.505	1.335
89.049	1.341
89.574	1.349
90.299	1.361
90.672	1.369
91.199	1.378
91.652	1.386
92.286	1.393
92.636	1.402
93.174	1.411
93.699	1.419
94.199	1.427
94.498	1.434
94.998	1.442
95.598	1.451
96.123	1.46
96.598	1.466
97.198	1.477
97.698	1.486
98.298	1.493
98.598	1.502
99.167	1.51
99.698	1.518
100.098	1.525
100.398	1.532
100.932	1.542
101.398	1.55
102.098	1.56
102.355	1.567
102.898	1.576
103.373	1.584
103.878	1.592
104.318	1.602
105.023	1.611
105.498	1.618
106.098	1.624
106.298	1.634
106.698	1.642
107.198	1.651
107.698	1.66
108.198	1.668
108.698	1.676
109.161	1.684
109.772	1.693
110.298	1.702
110.705	1.71
111.192	1.717
111.673	1.725
112.273	1.735
112.636	1.743
113.158	1.75
113.698	1.759
114.238	1.767
114.579	1.776
115.098	1.784
115.723	1.794
116.198	1.802
116.598	1.809
116.898	1.816
117.525	1.826
118.067	1.833
118.298	1.839
118.748	1.846
119.191	1.855
119.798	1.866
120.373	1.875
120.998	1.886
121.398	1.893
121.898	1.901
122.298	1.91
122.778	1.918
123.198	1.925
123.461	1.932
123.798	1.938
124.242	1.947
124.798	1.955
125.298	1.963
125.698	1.971
126.405	1.983
127.098	1.993
127.685	2.001
128.029	2.01
128.498	2.017
128.81	2.026
129.298	2.033
129.798	2.04
130.335	2.051
130.798	2.056
130.998	2.063
131.358	2.071
131.898	2.079
132.298	2.088
132.798	2.097
133.698	2.11
134.198	2.118
134.298	2.123
134.798	2.131
135.173	2.137
135.598	2.146
135.998	2.154
136.71	2.166
137.298	2.176
137.998	2.183
138.231	2.19
138.298	2.198
138.798	2.207
139.298	2.215
139.798	2.226
140.298	2.236
140.698	2.242
141.118	2.249
141.398	2.257
141.798	2.263
142.241	2.271
142.684	2.28
143.298	2.292
143.798	2.301
144.298	2.309
144.698	2.316
144.985	2.323
145.298	2.333
145.798	2.339
146.198	2.346
146.451	2.355
146.898	2.363
147.398	2.373
147.898	2.382
148.416	2.392
148.958	2.401
149.398	2.41
149.798	2.418
150.298	2.426
150.698	2.434
150.898	2.441
151.404	2.451
151.744	2.457
151.998	2.463
152.298	2.47
152.798	2.479
153.298	2.49
153.948	2.501
154.298	2.509
154.698	2.517
154.898	2.524
155.298	2.532
155.71	2.541
156.298	2.55
156.698	2.559
156.898	2.564
157.297	2.571
157.597	2.579
158.197	2.588
158.454	2.597
158.884	2.606
159.297	2.613
159.797	2.622
160.297	2.632
160.547	2.64
161.085	2.65
161.529	2.659
161.971	2.666
162.297	2.672
162.297	2.679
162.691	2.687
163.135	2.695
163.472	2.704
163.916	2.714
164.297	2.72
164.797	2.729
165.197	2.738
165.679	2.747
166.197	2.756
166.497	2.763
166.704	2.771
167.197	2.778
167.397	2.786
167.897	2.795
168.297	2.805
168.797	2.813
168.997	2.82
169.391	2.829
170.197	2.839
170.297	2.846
170.297	2.854
170.297	2.864
170.797	2.873
171.197	2.88
171.397	2.886
171.817	2.897
172.297	2.905
172.597	2.914
173.053	2.922
173.297	2.931
173.897	2.94
174.197	2.948
174.504	2.957
174.897	2.965
175.197	2.972
175.428	2.979
175.797	2.986
176.297	2.998
176.797	3.006
176.997	3.013
177.297	3.021
177.797	3.029
178.197	3.04
178.397	3.049
179.097	3.06
179.397	3.068
179.597	3.072
179.797	3.078
180.06	3.087
180.497	3.096
180.797	3.104
181.297	3.112
181.624	3.122
181.966	3.13
182.297	3.138
182.697	3.148
183.09	3.157
183.53	3.168
183.897	3.175
184.297	3.183
184.297	3.187
184.597	3.196
184.897	3.205
185.297	3.213
185.497	3.22
185.897	3.229
186.297	3.238
186.741	3.248
186.984	3.255
187.197	3.263
187.53	3.271
187.897	3.279
188.247	3.287
188.672	3.296
188.997	3.305
189.197	3.311
189.597	3.319
189.897	3.329
190.291	3.336
190.434	3.345
190.797	3.354
191.316	3.366
191.797	3.374
191.997	3.381
192.237	3.387
192.559	3.397
192.797	3.404
193.159	3.412
193.497	3.423
193.897	3.431
194.197	3.436
194.397	3.447
194.697	3.456
195.197	3.466
195.347	3.473
195.797	3.481
196.197	3.492
196.497	3.498
196.697	3.504
196.853	3.512
197.297	3.521
197.697	3.53
197.897	3.537
198.297	3.549
198.797	3.557
199.097	3.565
199.297	3.572
199.597	3.58
199.897	3.589
200.197	3.596
200.597	3.605
200.997	3.615
201.297	3.624
201.597	3.63
201.797	3.637
201.997	3.646
202.397	3.656
202.797	3.666
203.297	3.677
203.397	3.683
203.497	3.689
203.753	3.696
204.097	3.705
204.397	3.712
204.678	3.72
205.017	3.73
205.459	3.739
205.697	3.747
205.797	3.754
206.283	3.762
206.697	3.773
207.065	3.781
207.403	3.792
207.797	3.801
207.997	3.806
207.928	3.811
208.297	3.821
208.697	3.831
208.897	3.837
209.29	3.845
209.634	3.855
210.097	3.866
210.315	3.875
210.597	3.882
210.797	3.89
211.14	3.898
211.378	3.906
211.622	3.915
212.097	3.925
212.397	3.932
212.343	3.937
212.697	3.945
213.028	3.954
213.297	3.962
213.609	3.97
213.897	3.981
214.297	3.99
214.797	3.999
214.897	4.006
215.197	4.014
215.297	4.02
215.497	4.028
215.897	4.038
216.297	4.047
216.417	4.055
216.697	4.062
217.003	4.072
217.397	4.08
217.697	4.087
217.797	4.096
218.265	4.107
218.503	4.117
218.797	4.124
218.797	4.129
218.928	4.138
219.297	4.144
219.61	4.154
219.84	4.163
220.196	4.172
220.396	4.179
220.496	4.185
220.896	4.198
221.356	4.207
221.696	4.216
221.896	4.224
221.959	4.231
222.296	4.237
222.296	4.245
222.696	4.255
222.896	4.264
223.296	4.271
223.396	4.278
223.796	4.288
224.196	4.299
224.35	4.307
224.396	4.313
224.696	4.321
224.971	4.329
225.296	4.337
225.453	4.345
225.796	4.355
226.096	4.362
226.296	4.368
226.396	4.378
226.796	4.388
227.196	4.399
227.396	4.406
227.683	4.415
227.896	4.423
228.096	4.431
228.096	4.437
228.396	4.446
228.696	4.453
228.796	4.462
229.196	4.471
229.396	4.48
229.74	4.488
229.796	4.497
230.196	4.505
230.376	4.514
230.596	4.521
230.796	4.529
230.996	4.538
231.396	4.548
231.596	4.555
231.621	4.562
231.896	4.57
232.296	4.579
232.396	4.587
232.696	4.594
232.996	4.606
233.296	4.616
233.496	4.624
233.696	4.631
233.796	4.636
233.996	4.646
234.196	4.653
234.296	4.664
234.353	4.672
234.596	4.679
234.796	4.686
234.896	4.697
235.296	4.706
235.559	4.714
235.796	4.722
235.796	4.729
236.083	4.737
236.296	4.747
236.496	4.755
236.796	4.763
236.796	4.77
236.996	4.779
237.296	4.786
237.596	4.796
237.71	4.805
237.796	4.812
238.096	4.82
238.296	4.828
238.496	4.836
238.715	4.845
238.796	4.854
239.196	4.862
239.352	4.87
239.496	4.879
239.796	4.886
240.063	4.896
240.196	4.904
240.396	4.913
240.696	4.92
240.796	4.929
240.996	4.938
241.296	4.946
241.296	4.954
241.596	4.962
241.796	4.97
241.896	4.977
242.296	4.988
242.296	4.995
242.496	5.004
242.796	5.012
242.796	5.02
243.116	5.029
243.296	5.038
243.396	5.046
243.696	5.054
243.796	5.061
244.023	5.071
244.165	5.078
244.303	5.087
244.646	5.095
244.796	5.103
244.896	5.112
245.169	5.121
245.296	5.13
245.396	5.136
245.796	5.146
245.896	5.156
246.276	5.165
246.296	5.173
246.296	5.179
246.496	5.187
246.696	5.195
246.796	5.202
247.121	5.213
247.296	5.221
247.296	5.229
247.696	5.239
247.796	5.247
247.996	5.255
247.996	5.262
248.296	5.271
248.396	5.279
248.696	5.286
248.796	5.295
248.896	5.303
249.096	5.312
249.296	5.32
249.396	5.329
249.696	5.337
249.796	5.345
249.996	5.355
250.196	5.362
250.296	5.372
250.296	5.378
250.583	5.387
250.696	5.397
250.796	5.404
250.896	5.413
251.246	5.421
251.296	5.428
251.427	5.437
251.596	5.444
251.796	5.455
251.996	5.463
251.996	5.469
252.133	5.478
252.396	5.487
252.596	5.494
252.696	5.503
252.796	5.512
253.096	5.521
253.296	5.529
253.296	5.537
253.596	5.546
253.896	5.557
253.796	5.562
253.896	5.569
254.296	5.58
254.296	5.587
254.396	5.596
254.696	5.604
254.796	5.612
254.996	5.62
254.996	5.628
255.296	5.638
255.552	5.648
255.796	5.657
255.796	5.664
255.896	5.672
255.996	5.681
256.096	5.686
256.296	5.696
256.396	5.705
256.496	5.712
256.696	5.72
256.796	5.728
257.196	5.739
257.296	5.747
257.296	5.755
257.396	5.763
257.496	5.771
257.796	5.78
257.796	5.788
257.896	5.795
258.133	5.805
258.196	5.81
258.296	5.821
258.396	5.829
258.596	5.838
258.696	5.845
258.896	5.855
259.196	5.865
259.296	5.873
259.296	5.881
259.396	5.887
259.596	5.896
259.696	5.904
259.796	5.913
259.996	5.924
260.296	5.932
260.196	5.936
260.296	5.946
260.571	5.956
260.796	5.966
260.896	5.974
260.896	5.982
261.196	5.991
261.115	5.997
260.896	6.003
261.296	6.012
261.396	6.022
261.44	6.028
261.683	6.038
261.896	6.047
262.096	6.055
261.996	6.062
262.196	6.071
262.296	6.08
262.596	6.09
262.496	6.095
262.696	6.105
262.796	6.114
262.896	6.121
262.896	6.128
263.176	6.138
263.396	6.149
263.456	6.157
263.696	6.166
263.796	6.176
263.796	6.183
263.796	6.189
263.658	6.195
263.996	6.205
264.196	6.213
263.996	6.219
264.296	6.23
264.396	6.238
264.383	6.246
264.496	6.253
264.796	6.263
264.829	6.273
264.796	6.279
264.996	6.288
265.296	6.298
265.496	6.308
265.296	6.313
265.296	6.32
265.516	6.329
265.533	6.337
265.596	6.344
265.896	6.355
266.196	6.366
266.296	6.374
266.229	6.383
266.296	6.393
266.346	6.4
266.296	6.406
266.296	6.413
266.369	6.422
266.596	6.432
266.396	6.438
266.59	6.446
266.796	6.455
266.996	6.466
267.096	6.475
267.096	6.482
267.296	6.49
267.296	6.499
267.296	6.506
267.296	6.515
267.296	6.521
267.296	6.528
267.496	6.538
267.796	6.548
267.869	6.558
267.627	6.563
267.796	6.571
267.896	6.58
267.796	6.588
267.796	6.596
268.196	6.606
268.396	6.617
268.296	6.624
268.196	6.63
268.196	6.638
268.376	6.645
268.396	6.654
268.533	6.663
268.696	6.671
268.696	6.681
268.496	6.687
268.496	6.696
268.796	6.704
268.796	6.713
268.696	6.721
268.796	6.73
268.796	6.738
268.696	6.745
268.796	6.755
268.842	6.763
268.796	6.77
268.758	6.779
268.896	6.789
268.914	6.799
268.896	6.806
268.496	6.812
268.396	6.82
268.496	6.829
268.196	6.837
268.058	6.846
267.889	6.856
267.596	6.863
267.096	6.869
266.396	6.88
265.996	6.889
264.571	6.899
262.096	6.905
259.296	6.914
256.163	6.924
252.671	6.932
249.196	6.938
242.29	6.946
231.096	6.953
2.6	6.965
2.6	6.965
