#Load(N)	Displacement (mm)
0.3	0.019
0.6	0.034
0.9	0.052
1.294	0.068
1.4	0.083
1.7	0.099
2	0.115
2.3	0.136
2.413	0.152
2.794	0.168
3	0.185
3.3	0.201
3.7	0.218
3.8	0.236
4.106	0.251
4.4	0.269
4.7	0.283
4.8	0.301
5.2	0.318
5.381	0.334
5.7	0.349
5.9	0.367
6.2	0.385
6.4	0.4
6.7	0.418
6.9	0.434
7.3	0.451
7.5	0.467
7.756	0.485
8	0.5
8.3	0.518
8.6	0.533
8.8	0.551
9.1	0.567
9.3	0.584
9.7	0.602
9.912	0.617
10.294	0.633
10.3	0.651
10.5	0.669
10.8	0.684
11.1	0.702
11.3	0.717
11.486	0.734
11.8	0.749
12	0.769
12.3	0.785
12.6	0.802
12.8	0.818
13	0.833
13.3	0.85
13.5	0.867
13.825	0.886
14.2	0.902
14.3	0.918
14.6	0.934
14.8	0.952
15.133	0.968
15.3	0.985
15.6	1
15.8	1.018
16.1	1.035
16.343	1.051
16.6	1.069
16.893	1.083
17.2	1.102
17.3	1.117
17.6	1.135
17.8	1.149
18.2	1.17
18.3	1.184
18.6	1.201
18.8	1.219
19	1.235
19.3	1.252
19.5	1.268
19.8	1.285
20.1	1.302
20.3	1.318
20.5	1.335
20.8	1.352
21.006	1.368
21.2	1.385
21.531	1.402
21.8	1.419
21.9	1.435
22.2	1.452
22.3	1.468
22.7	1.484
22.9	1.503
23.2	1.518
23.4	1.534
23.7	1.55
23.9	1.567
24.168	1.584
24.3	1.602
24.566	1.617
24.9	1.635
25.2	1.652
25.3	1.668
25.562	1.685
25.8	1.701
26.126	1.719
26.206	1.734
26.393	1.752
26.6	1.767
26.843	1.785
27.162	1.801
27.3	1.819
27.4	1.834
27.781	1.851
28.1	1.867
28.3	1.885
28.331	1.9
28.712	1.918
28.9	1.935
29.2	1.951
29.3	1.967
29.5	1.982
29.8	1.998
30.2	2.019
30.3	2.034
30.5	2.051
30.7	2.068
30.8	2.082
31.1	2.1
31.3	2.115
31.499	2.135
31.799	2.15
31.943	2.167
32.299	2.185
32.306	2.199
32.599	2.214
32.799	2.235
32.999	2.252
33.299	2.267
33.299	2.283
33.599	2.297
33.899	2.318
34.237	2.333
34.299	2.352
34.399	2.367
34.599	2.383
34.799	2.399
34.999	2.418
35.199	2.434
35.462	2.451
35.799	2.469
35.799	2.483
35.899	2.497
36.299	2.517
36.399	2.534
36.773	2.55
36.799	2.568
36.993	2.582
37.274	2.598
37.399	2.613
37.737	2.633
37.899	2.651
38.199	2.669
38.386	2.684
38.399	2.698
38.749	2.713
38.931	2.73
39.299	2.748
39.399	2.766
39.699	2.783
39.899	2.797
39.959	2.813
40.299	2.832
40.399	2.848
40.699	2.865
40.899	2.883
40.999	2.9
41.199	2.914
41.499	2.935
41.899	2.952
42.099	2.966
42.299	2.984
42.299	3
42.299	3.016
42.299	3.034
42.499	3.051
42.799	3.067
42.899	3.083
43.262	3.099
43.299	3.114
43.499	3.129
43.781	3.15
43.999	3.169
44.146	3.183
44.299	3.202
44.299	3.214
44.599	3.23
44.799	3.249
45.056	3.268
45.237	3.284
45.399	3.301
45.599	3.317
45.799	3.331
45.799	3.345
46.099	3.364
46.231	3.384
46.399	3.4
46.699	3.418
46.799	3.432
46.999	3.451
47.299	3.466
47.324	3.485
47.699	3.502
47.799	3.517
47.799	3.531
48.049	3.548
48.299	3.564
48.399	3.586
48.599	3.601
48.799	3.616
48.937	3.635
